X,Y,OBJECTID,UNITID,Location,Status,Project,ApproveDate,ConstructDate,GlobalID,Metered
1445327.00023101,538315.260231003,856,ADA-65,Camden RD (Camden and Park,UC,1515-1537 Camden Rd,2018/02/08 00:00:00+00,,ef926035-107c-42b5-a5bd-678306aed4c3,
1468216.040856,478613.448981002,857,ADA-103,South Rea Park Lane (corner of Midway Park Dr RT),UC,Rea Farms Retail,2018/08/23 00:00:00+00,,328ccc48-b6fc-4fc5-87a9-94eddc5f3038,
1449012.52210601,543435.423981011,858,ADA-4,Trade St (Mint St/Pine St to Poplar),A,Streetcar,2016/08/31 00:00:00+00,,ad4baa07-a253-416e-8424-feb2e319beb0,
1441620.30210601,533466.433981001,859,ADA-44,Fairwood Avenue,C,Triple C Special Event Building,2016/12/13 00:00:00+00,,59c2c74a-a1a3-40c0-b93a-0d6b202d22cf,NO
1438736.99960601,515760.999606013,860,ADA-32,Old Pineville and Archdale (Light Rail Station),C,Blue Line,,,c2227be5-a919-4748-aa23-ed1c83a11bca,NO
1428944.00023101,526943.000231013,861,ADA-41,Audubon Park Drive,C,City Park Townhomes Phase III,2016/12/05 00:00:00+00,,0c344315-9ac7-42a9-aeb4-8138d82eee91,NO
1467324.78023101,478993.463356003,862,ADA-82,Red Rust Lane ( corner of Red Rust and North old Spring RT),C,Rea Farms Retail,2018/08/23 00:00:00+00,,a8951ab2-2795-4ab1-a4db-2251692c6b1c,
1448541.777731,544498.303981006,863,ADA-9,Wilkes Place (5th Street),A,Curb lane management,2016/05/10 00:00:00+00,,2116d393-3b69-46d7-8af7-77dc4af1570e,
1467324.946481,478993.388981014,864,ADA-84,Red Rust Lane ( corner of Red Rust and South old Spring RT),C,Rea Farms Retail,2018/08/23 00:00:00+00,,bb259828-528c-48a7-891d-e73c43807d21,
1447233.259606,545773.223981008,865,ADA-6A,5th Street (Irwin to Cedar),A,Curb lane management,2016/05/10 00:00:00+00,,b72aaea3-3776-4151-b2d1-95e355efa5aa,YES
1468222.62460601,478977.535231009,866,ADA-102,North Rea Park Lane (corner of Midway Park Dr LT),UC,Rea Farms Retail,2018/08/23 00:00:00+00,,e7b836cb-4bdb-451c-a5c4-bd29d69b4329,
1447972.00023101,542663.999606013,867,ADA-17,West MLK and Mint St,C,Romare Brearden,2015/03/31 00:00:00+00,6/5/2016,559ccb0e-f422-48ac-8292-83178dd6abdb,YES
1444607.30210601,546573.56585601,868,ADA-45,Duckworth and Wesley Heights Way,A,200 Wesley Heights Way Townhomes,2017/04/27 00:00:00+00,,c0a7ac6a-7bb0-4005-95d6-681c4aa74f00,
1473877.57648101,583694.211481005,869,ADA-119,David Taylor Dr,A,Mallard Pointe Multi-Family,,,8dc0182d-cbc4-4a60-b1c5-0216548c4f82,
1439008.307731,508132.598981008,870,ADA-113,Denmark Rd (mid block Whitby and parking lot),UC,Marlowe AKA Arrowood Station,2019/03/07 00:00:00+00,,5271a6f8-59a0-4c69-8518-7009470dfdd9,
1443949.02023101,540486.340231001,871,ADA-57,W Summit Ave and Merriman Ave,A,Gather Wilmore,2017/09/21 00:00:00+00,,99b31f10-bdd9-46fb-a582-605a08f88c7d,
1412604.61210601,517030.470856011,872,ADA-122,Anabella Pl (between Private St and Grady Way) Rt,A,Pringle Square Phase I,,,54c38bd6-d154-4db6-b603-8bcf08bef703,
1472739.07648101,564435.506481007,873,ADA-110,Drivers Way (corner of Drivers Way),A,Topgolf North Charlotte,2018/11/26 00:00:00+00,,da715c97-35d1-4512-8d5f-dd82f66e20fe,
1442125.00023101,532709.000231013,874,ADA-20,South Blvd (@ New Bern),UC,New Bern Station,2016/06/23 00:00:00+00,,62d9537c-4830-4d4c-b5d7-ce746a7a66b2,
1468222.62460601,478977.396481007,875,ADA-97,North Rea Park Lane (corner of Midway Park Dr LT),UC,Rea Farms Retail,2018/08/23 00:00:00+00,,0e7c1f7f-73a9-4ad2-a534-8792f2154114,
1442354.00023101,537062.260231003,876,ADA-69,Tremont (corner of Tremont and S Tryon),UC,Tremont Square,2017/09/22 00:00:00+00,,a18d788c-e37a-45ed-a3d0-947e689a9adb,
1473911.200856,583726.271481007,877,ADA-120,David Taylor Dr,A,Mallard Pointe Multi-Family,,,302c3880-846a-4227-859a-b522ba335c81,
1455120.372731,545498.550856009,878,ADA-70,17th St (17th St and Parkwood),UC,300 Optimist Park,2016/09/08 00:00:00+00,,89475fe0-4042-44b4-bc84-2d0af1fa3477,
1401474.309606,495996.747731,879,ADA-123,Orchard Drive (off S. Tryon) LT,A,Rivergate Greene,,,e1931551-e97f-49f5-8a61-a66de1872403,
1488282.69335601,572416.119606003,880,ADA-117,Sams Lane (Dabney Dr and Univ City Blvd) RT,C,Sam's Car Wash,2019/02/27 12:13:05+00,4/5/2019,9702c895-81f6-43bd-ad73-528fb4d4d881,
1446536.63023101,581788.594606012,881,ADA-114,Napa Oak Dr,C,Northlake at Proximity,,,06804054-15f4-4833-8bc9-a4f4a562c826,
1447252.399606,545755.131481007,882,ADA-6B,5th Street (Irwin to Cedar),A,Curb lane management,2016/05/10 00:00:00+00,,91af1bb7-875d-43e3-b204-d780894d93b1,YES
1438697.00023101,515577.999606013,883,ADA-37,Old Pineville and Archdale (Light Rail Station),C,Blue Line,,,8841d8c3-4602-4669-9120-fdecd87ba4e3,NO
1440970.915231,542122.712731004,884,ADA-72,Morton St (at corner of Morton St and Suttle Ave),A,Bryant Park Apartments,2018/06/13 00:00:00+00,,7fb3e821-8d37-43a1-8d30-8897802b9325,
1438733.00023101,515740.999606013,885,ADA-33,Old Pineville and Archdale (Light Rail Station),C,Blue Line,,,5f73f7c5-5478-4500-9a2a-04c570c7b039,NO
1448545.93835601,544565.81523101,886,ADA-8,5th Street (Wilkes),UC,Curb lane management,2016/05/10 00:00:00+00,,e307c780-43bb-43de-a621-c8b274661db6,
1456090.00023101,546399.999606013,887,ADA-25,,UC,Parkwood Residences,2016/09/30 00:00:00+00,,00547fbc-6fb0-40f3-a89e-f38684440b84,
1458606.99960601,539462.000231013,888,ADA-26,Commonwealth and Pecan (Legion Brewing),C,Legion Brewing,2015/02/20 00:00:00+00,,77437f29-55aa-4ccf-a758-9e67fd7ceb45,NO
1469169.65960601,479105.340231001,889,ADA-55,Sandy Rock Place,C,Rea Farms Retail,2017/07/07 00:00:00+00,,3dffc3e3-2abd-47d9-bf41-c4d3a88fac2e,NO
1444031.25648101,535368.805231005,890,ADA-115,South Blvd (between Magnolia and Iverson),UC,Atherton Mills,,,a209ac01-1347-4706-963a-edc1b7af93b5,
1429167.00023101,527115.000231013,891,ADA-38,Audon Park Drive (Millenium Ave and Piedmont Park Dr),C,City Park Townhomes Phase III,2016/12/05 00:00:00+00,,48b7d338-8c31-4364-a32a-2ff3654fdd0f,NO
1469843.465231,552840.343356013,892,ADA-107,Eastway Park Dr,UC,Eastway Regional Recreation Center,2018/08/20 00:00:00+00,,4ac1a44c-eeb2-4e21-bebd-0035f0b60fdd,
1401441.46773101,495985.01835601,893,ADA-124,Orchard Drive (off S. Tryon),A,Rivergate Greene,,,c353689d-94f5-4d45-abb2-63f342daf5f9,
1412567.07835601,517039.072106004,894,ADA-121,Anabella Pl (between Private St and Grady Way) LT,A,Pringle Square Phase I,,,90f8d9e9-b7da-43d9-bdf3-0454f72e321f,
1444782.00023101,539007.000231013,895,ADA-23,S. Church St,C,Kee Court Townhomes,2016/08/26 00:00:00+00,,5d7feb73-ae38-4130-9c24-b941f0d8a05a,
1442892.06648101,536943.012731001,896,ADA-64,327 W Tremont,C,Tremont Multi-Family Development,2017/02/15 00:00:00+00,,1e31cdef-25c2-46b2-943e-601833a54f52,
1440218.00023101,531017.62773101,897,ADA-71,Clanton Road (mid block bewteen South Blvd and S Tryon),C,Scaleybark Townhomes,2016/11/11 00:00:00+00,6/5/2018,b0565831-9205-4aac-bcc2-a8bfbf11ae54,NO
1441356.199606,534521.951481014,898,ADA-118,2705 South Tryon St,A,Bee Safe Storage,,,4da03df2-6047-444e-bd3c-ba7c0365226e,
1468212.00023101,574947.999606013,899,ADA-22,Baucom Rd and Widsom Lane,C,Baucom Road Connector,2016/02/04 00:00:00+00,12/31/2016,bfad60f7-481a-45ed-abff-a3284c208576,NO
1449785.00023101,541129.000231013,900,ADA-30,S Brevard St and 3rd Street,C,,,,8fac9a38-df49-4995-891d-468678065513,YES
1447295.20648101,520986.164606005,901,ADA-79,Mockingbird Lane,UC,Park Seneca Building Renovation,2016/08/31 00:00:00+00,,e274b580-a028-41bc-82d9-94429c7c2ee6,
1468216.040856,478613.448981002,902,ADA-99,South Rea Park Lane (corner of Midway Park Dr RT),UC,Rea Farms Retail,2018/08/23 00:00:00+00,,00204028-8c54-46be-a15c-32afef25b0ee,
1467617.58585601,478624.238356009,903,ADA-93,South Rea Park Lane (corner of Terminus Rd LT),UC,Rea Farms Retail,2018/08/23 00:00:00+00,,5c4bc10d-0284-4416-bb9c-d09d769ffcb5,
1445735.340231,539066.340231001,904,ADA-59,Winona St (Winnifred and S Tryon),UC,The Railyard,2017/11/20 00:00:00+00,,adb04fb5-238c-46a1-a710-59d6c304ee97,
1458724.00023101,539507.000231013,905,ADA-29,Commonwealth and Thomas,C,Commonwealth/The Plaza Pedscape,2013/04/11 00:00:00+00,,fb3cacdc-8744-4670-b694-3d88ead098eb,NO
1467617.58585601,478624.238356009,906,ADA-94,South Rea Park Lane (corner of Terminus Rd LT),UC,Rea Farms Retail,2018/08/23 00:00:00+00,,505e9451-d27c-418f-98d9-4b4006a0a9f7,
