LOCATION,ZIP,LATITUDE_PUBLIC,LONGITUDE_PUBLIC,CMPD_PATROL_DIVISION,NPA,DATE_INCIDENT_BEGAN,LOCATION_TYPE_DESCRIPTION,PLACE_TYPE_DESCRIPTION,PLACE_DETAIL_DESCRIPTION,HIGHEST_NIBRS_DESCRIPTION,cluster,cluster_title,nearest_station,stations_in_radius,stations_in_radius_dist_m
300 W BLAND ST,28203,35.219246,-80.857294,Central,339,2023/01/01 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,All Other Thefts,8,Theft and Vehicle Offenses,Bland,Bland,420.85
300 E TRADE ST,28202,35.226243,-80.841973,Central,476,2019/05/11 00:00:00+00,Outdoors,Commercial Place,Stadium/Arena,Simple Assault,0,"""Violent and Public Safety Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
700 N CALDWELL ST,28202,35.22815,-80.832776,Central,476,2019/05/19 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,Simple Assault,0,"""Violent and Public Safety Offenses""",9th Street,9th Street,265.53
100 W 9TH ST,28202,35.231011,-80.837663,Central,476,2025/08/13 00:00:00+00,Outdoors,Open Area,Street/Highway,Drug/Narcotic Violations,1,"""Regulatory and Non-Violent Offenses""",9th Street,9th Street,282.59
200 S CHURCH ST,28202,35.22733,-80.845307,Central,476,2018/01/11 00:00:00+00,Parking Deck,Commercial Place,Other - Commercial Place,Suicide,9,"""Fatal Incidents and Investigations""",CTC/Arena,"CTC/Arena,3rd St/Convention","440.26,460.44"
2200 HAWKINS ST,28203,35.208609,-80.863631,Central,338,2022/12/02 00:00:00+00,Parking Deck,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,East/West,East/West,548.93
200 E BLAND ST,28203,35.217008,-80.854286,Central,3,2021/09/25 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,Simple Assault,0,"""Violent and Public Safety Offenses""",Bland,Bland,158.91
600 E TRADE ST,28202,35.222915,-80.83802,Central,476,2020/06/01 00:00:00+00,Indoors,Residential,Private Residence,Forcible Fondling,3,Sexual Assault Crimes,7th Street,"CTC/Arena,7th Street","384.08,477.44"
1100 S TRYON ST,28204,35.219598,-80.85258,Central,339,2018/04/21 00:00:00+00,Parking Lot,Commercial Place,Other - Commercial Place,Simple Assault,0,"""Violent and Public Safety Offenses""",Carson,"Carson,Bland","177.57,484.77"
300 W BLAND ST,28203,35.219246,-80.857294,Central,339,2023/01/27 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,All Other Thefts,8,Theft and Vehicle Offenses,Bland,Bland,420.85
300 WEST BV,28203,35.213987,-80.861858,Central,388,2020/09/18 00:00:00+00,Other,Commercial Place,Restaurant/Diner/Coffee Shop,Damage/Vandalism Of Property,1,"""Regulatory and Non-Violent Offenses""",East/West,East/West,333.75
100 W 5TH ST,28202,35.227994,-80.841946,Central,476,2017/06/24 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,7th Street","335.87,363.89"
500 E TRADE ST,28202,35.223768,-80.839041,Central,476,2024/04/26 00:00:00+00,Outdoors,Open Area,Street/Highway,Damage/Vandalism Of Property,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","253.7,366.16,393.1"
1500 SOUTH BV,28203,35.214569,-80.854568,Central,3,2017/01/21 00:00:00+00,Indoors,Retail,Drug Store,Robbery,7,"""Coercive and Violent Offenses""",Bland,Bland,154.13
1600 CAMDEN RD,28203,35.214699,-80.857006,Central,388,2019/03/19 00:00:00+00,Outdoors,Commercial Place,Restaurant/Diner/Coffee Shop,Theft of Motor Vehicle Parts from Vehicle,8,Theft and Vehicle Offenses,Bland,"Bland,East/West","201.02,363.88"
300 E 3RD ST,28202,35.224709,-80.844206,Central,476,2019/11/04 00:00:00+00,Outdoors,Public/Non-Residential,Other - Public/Non-Residential,Drug/Narcotic Violations,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,"3rd St/Convention,CTC/Arena,Brooklyn Village","160.41,258.28,444.28"
1600 SOUTH BV,28203,35.213671,-80.855609,Central,3,2022/06/11 00:00:00+00,Indoors,Retail,Department Store,Shoplifting,4,"""Theft-Related Offenses""",Bland,"Bland,East/West","241.3,376.69"
600 E TRADE ST,28202,35.222915,-80.83802,Central,476,2023/06/07 00:00:00+00,Parking Lot,Public/Non-Residential,Government Building,Extortion/Blackmail,7,"""Coercive and Violent Offenses""",7th Street,"CTC/Arena,7th Street","384.08,477.44"
1400 S TRYON ST,28203,35.216686,-80.855588,Central,339,2024/08/31 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,Pocket-Picking,4,"""Theft-Related Offenses""",Bland,Bland,98.98
600 E TRADE ST,28202,35.222915,-80.83802,Central,476,2024/12/12 00:00:00+00,Indoors,Commercial Place,Other - Commercial Place,Drug/Narcotic Violations,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,7th Street","384.08,477.44"
2200 HAWKINS ST,28203,35.208609,-80.863631,Central,338,2025/11/15 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,All Other Thefts,8,Theft and Vehicle Offenses,East/West,East/West,548.93
200 W 10TH ST,28202,35.23278,-80.837512,Central,476,2020/09/02 00:00:00+00,Indoors,Residential,Other - Residential,Trespass Of Real Property,1,"""Regulatory and Non-Violent Offenses""",9th Street,9th Street,411.0
600 E TRADE ST,28202,35.222915,-80.83802,Central,476,2017/05/22 00:00:00+00,Indoors,Public/Non-Residential,Government Building,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,7th Street","384.08,477.44"
100 W 3RD ST,28202,35.225651,-80.845306,Central,476,2025/08/23 00:00:00+00,Parking Deck,Commercial Place,Restaurant/Diner/Coffee Shop,All Other Thefts,8,Theft and Vehicle Offenses,CTC/Arena,"3rd St/Convention,CTC/Arena","304.97,363.6"
200 E 7TH ST,28202,35.228585,-80.838701,Central,476,2017/04/29 00:00:00+00,Outdoors,Open Area,Street/Highway,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",9th Street,"7th Street,9th Street,CTC/Arena","162.23,358.76,466.85"
1200 S TRYON ST,28203,35.218378,-80.853841,Central,339,2023/02/09 00:00:00+00,Parking Deck,Residential,Apartment/Duplex Private Res,Motor Vehicle Theft,8,Theft and Vehicle Offenses,Bland,Bland,311.45
200 S BREVARD ST,28202,35.223788,-80.841164,Central,476,2019/07/14 00:00:00+00,Parking Lot,Commercial Place,Other - Commercial Place,Motor Vehicle Theft,8,Theft and Vehicle Offenses,CTC/Arena,"CTC/Arena,3rd St/Convention","135.98,173.67"
300 E 6TH ST,28202,35.227841,-80.839745,Central,476,2025/12/18 00:00:00+00,Outdoors,Open Area,Street/Highway,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",9th Street,"7th Street,CTC/Arena,9th Street","168.09,348.82,478.48"
200 E BLAND ST,28203,35.217008,-80.854286,Central,339,2024/04/12 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,Pocket-Picking,4,"""Theft-Related Offenses""",Bland,Bland,158.91
200 S CALDWELL ST,28202,35.222953,-80.840194,Central,476,2018/08/22 00:00:00+00,Indoors,Commercial Place,Hotel/Motel,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","251.76,270.8,511.51"
200 E TRADE ST,28202,35.226243,-80.841973,Central,476,2020/01/26 00:00:00+00,Indoors,Commercial Place,Hotel/Motel,All Other Thefts,8,Theft and Vehicle Offenses,7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
200 S COLLEGE ST,28202,35.225467,-80.843098,Central,476,2018/06/15 00:00:00+00,Parking Deck,Public/Non-Residential,Other - Public/Non-Residential,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","163.83,205.97"
1500 SOUTH BV,28203,35.214569,-80.854568,Central,3,2022/05/16 00:00:00+00,Indoors,Retail,Drug Store,Theft From Building,8,Theft and Vehicle Offenses,Bland,Bland,154.13
300 N COLLEGE ST,28202,35.227841,-80.839745,Central,476,2024/09/15 00:00:00+00,Parking Lot,Commercial Place,Bar/Tavern/Nightclub,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,9th Street,"7th Street,CTC/Arena,9th Street","168.09,348.82,478.48"
100 W TRADE ST,28202,35.227199,-80.843083,Central,476,2022/05/01 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,False Pretenses/Swindle,2,Fraud and Financial Crimes,CTC/Arena,"CTC/Arena,3rd St/Convention","288.46,398.03"
200 S TRYON ST,28202,35.226412,-80.844208,Central,476,2018/08/12 00:00:00+00,Indoors,Commercial Place,Financial Institution,Credit Card/Teller Fraud,2,Fraud and Financial Crimes,CTC/Arena,"CTC/Arena,3rd St/Convention","300.47,327.83"
200 S DAVIDSON ST,28202,35.2221,-80.839211,Central,476,2023/09/18 00:00:00+00,Parking Deck,Commercial Place,Other - Commercial Place,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","377.83,388.25"
100 W TRADE ST,28202,35.227199,-80.843083,Central,476,2025/09/22 00:00:00+00,Indoors,Commercial Place,Hotel/Motel,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","288.46,398.03"
300 E 5TH ST,28202,35.227041,-80.840856,Central,476,2017/08/14 00:00:00+00,Outdoors,Open Area,Street/Highway,Drug/Narcotic Violations,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,7th Street,3rd St/Convention","231.51,255.21,430.12"
200 W TRADE ST,28202,35.228131,-80.844166,Central,476,2021/02/15 00:00:00+00,Indoors,Commercial Place,Hotel/Motel,Simple Assault,0,"""Violent and Public Safety Offenses""",CTC/Arena,CTC/Arena,429.4
200 E TRADE ST,28202,35.226243,-80.841973,Central,476,2017/08/13 00:00:00+00,Indoors,Commercial Place,Other - Commercial Place,All Other Thefts,8,Theft and Vehicle Offenses,7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
500 E MARTIN LUTHER KING JR BV,28202,35.221184,-80.842679,Central,476,2022/10/02 00:00:00+00,Parking Lot,Commercial Place,Hotel/Motel,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",3rd St/Convention,"3rd St/Convention,Brooklyn Village","271.27,388.45"
1400 S CHURCH ST,28203,35.219246,-80.857294,Central,339,2022/10/21 00:00:00+00,Parking Lot,Residential,Apartment/Duplex Private Res,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",Bland,Bland,420.85
900 N COLLEGE ST,28206,35.232917,-80.832622,Central,476,2024/03/21 00:00:00+00,Indoors,Residential,Public Housing Private,All Other Thefts,8,Theft and Vehicle Offenses,9th Street,9th Street,417.26
300 SETTLERS LN,28202,35.233081,-80.839224,Central,476,2024/09/06 00:00:00+00,Outdoors,Open Area,Street/Highway,Motor Vehicle Theft,8,Theft and Vehicle Offenses,9th Street,9th Street,536.96
2200 HAWKINS ST,28203,35.208609,-80.863631,Central,338,2023/12/30 00:00:00+00,Outdoors,Open Area,Street/Highway,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,East/West,East/West,548.93
300 S CALDWELL ST,28202,35.222159,-80.841275,Central,476,2023/11/17 00:00:00+00,Parking Lot,Open Area,Other - Open Area,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,CTC/Arena,"3rd St/Convention,CTC/Arena","228.65,315.24"
600 E TRADE ST,28202,35.222915,-80.83802,Central,476,2023/06/24 00:00:00+00,Other,Open Area,Cyberspace,Pornography/Obscene Material,5,Sexual Exploitation Crimes,7th Street,"CTC/Arena,7th Street","384.08,477.44"
300 E TRADE ST,28202,35.226243,-80.841973,Central,476,2019/06/24 00:00:00+00,Outdoors,Public/Non-Residential,Air/Bus/Train Terminal,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
300 E TRADE ST,28202,35.226243,-80.841973,Central,476,2024/02/13 00:00:00+00,Outdoors,Public/Non-Residential,Air/Bus/Train Terminal,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
100 W MOREHEAD ST,28202,35.221779,-80.85213,Central,476,2022/03/09 00:00:00+00,Other,Residential,Private Residence,All Other Thefts,8,Theft and Vehicle Offenses,Carson,Carson,341.54
400 E TRADE ST,28202,35.224569,-80.839996,Central,476,2023/06/12 00:00:00+00,Outdoors,Public/Non-Residential,Air/Bus/Train Terminal,All Other Thefts,8,Theft and Vehicle Offenses,7th Street,"CTC/Arena,3rd St/Convention,7th Street","135.56,298.43,342.74"
200 N CALDWELL ST,28202,35.224565,-80.837927,Central,476,2025/04/21 00:00:00+00,Outdoors,Open Area,Street/Highway,Drug/Narcotic Violations,1,"""Regulatory and Non-Violent Offenses""",7th Street,"7th Street,CTC/Arena","294.69,318.81"
500 E MOREHEAD ST,28202,35.217502,-80.848028,Providence,3,2018/01/17 00:00:00+00,Parking Deck,Commercial Place,Office,Damage/Vandalism Of Property,1,"""Regulatory and Non-Violent Offenses""",Carson,Carson,297.86
200 W MARTIN LUTHER KING JR BV,28202,35.225846,-80.847447,Central,476,2019/05/09 00:00:00+00,Outdoors,Retail,Gas Station,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,3rd St/Convention,3rd St/Convention,469.97
100 E MOREHEAD ST,28203,35.22042,-80.850626,Central,476,2020/02/12 00:00:00+00,Parking Lot,Open Area,Street/Highway,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",Brooklyn Village,"Carson,Brooklyn Village","170.69,352.27"
200 W TRADE ST,28202,35.228131,-80.844166,Central,476,2023/07/23 00:00:00+00,Indoors,Commercial Place,Hotel/Motel,All Other Thefts,8,Theft and Vehicle Offenses,CTC/Arena,CTC/Arena,429.4
1200 S TRYON ST,28203,35.218378,-80.853841,Central,339,2021/07/30 00:00:00+00,Parking Lot,Residential,Other - Residential,All Other Thefts,8,Theft and Vehicle Offenses,Bland,Bland,311.45
200 N CHURCH ST,28202,35.228926,-80.843025,Central,476,2023/11/11 00:00:00+00,Other,Open Area,Cyberspace,False Pretenses/Swindle,2,Fraud and Financial Crimes,CTC/Arena,CTC/Arena,460.12
600 N CHURCH ST,28202,35.232696,-80.837638,Central,476,2022/05/30 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,Aggravated Assault,0,"""Violent and Public Safety Offenses""",9th Street,9th Street,409.9
500 E 6TH ST,28202,35.225305,-80.836821,Central,476,2021/03/30 00:00:00+00,Parking Deck,Residential,Apartment/Duplex Private Res,All Other Thefts,8,Theft and Vehicle Offenses,7th Street,"7th Street,CTC/Arena","240.45,417.16"
200 E 3RD ST,28202,35.224709,-80.844206,Central,476,2022/04/29 00:00:00+00,Indoors,Commercial Place,Other - Commercial Place,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,"3rd St/Convention,CTC/Arena,Brooklyn Village","160.41,258.28,444.28"
200 N COLLEGE ST,28202,35.227041,-80.840856,Central,476,2024/10/28 00:00:00+00,Parking Deck,Commercial Place,Other - Commercial Place,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,7th Street,3rd St/Convention","231.51,255.21,430.12"
200 S TRYON ST,28202,35.226412,-80.844208,Central,476,2023/03/05 00:00:00+00,Outdoors,Residential,Apartment/Duplex Private Res,Damage/Vandalism Of Property,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","300.47,327.83"
200 W 10TH ST,28202,35.23278,-80.837512,Central,476,2021/03/18 00:00:00+00,Parking Lot,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,9th Street,9th Street,411.0
400 S TRYON ST,28202,35.22492,-80.846381,Central,476,2024/06/14 00:00:00+00,Outdoors,Commercial Place,Financial Institution,All Other Thefts,8,Theft and Vehicle Offenses,3rd St/Convention,"3rd St/Convention,Brooklyn Village","335.32,394.77"
300 E TRADE ST,28202,35.226243,-80.841973,Central,476,2022/08/16 00:00:00+00,Outdoors,Public/Non-Residential,Government Building,Drug/Narcotic Violations,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
1700 SOUTH BV,28203,35.212734,-80.856643,Central,3,2021/10/13 00:00:00+00,Indoors,Retail,Drug Store,Burglary/B&E,7,"""Coercive and Violent Offenses""",Bland,"East/West,Bland","246.28,365.07"
600 E MOREHEAD ST,28202,35.217502,-80.848028,Central,3,2025/04/30 00:00:00+00,Outdoors,Commercial Place,Other - Commercial Place,Burglary/B&E,7,"""Coercive and Violent Offenses""",Carson,Carson,297.86
200 N COLLEGE ST,28202,35.227041,-80.840856,Central,476,2018/04/11 00:00:00+00,Indoors,Commercial Place,Hotel/Motel,All Other Thefts,8,Theft and Vehicle Offenses,7th Street,"CTC/Arena,7th Street,3rd St/Convention","231.51,255.21,430.12"
100 W 5TH ST,28202,35.227994,-80.841946,Central,476,2023/05/06 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,All Other Thefts,8,Theft and Vehicle Offenses,7th Street,"CTC/Arena,7th Street","335.87,363.89"
100 MONTFORD POINT ST,28202,35.231598,-80.836839,Central,476,2023/07/01 00:00:00+00,Outdoors,Open Area,Street/Highway,Drug/Narcotic Violations,1,"""Regulatory and Non-Violent Offenses""",9th Street,9th Street,268.9
200 E TRADE ST,28202,35.226243,-80.841973,Central,476,2020/02/28 00:00:00+00,Outdoors,Commercial Place,Restaurant/Diner/Coffee Shop,Damage/Vandalism Of Property,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
100 W MOREHEAD ST,28202,35.221779,-80.85213,Central,476,2019/12/13 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,All Other Thefts,8,Theft and Vehicle Offenses,Carson,Carson,341.54
1500 S TRYON ST,28203,35.216099,-80.856237,Central,339,2024/11/29 00:00:00+00,Outdoors,Commercial Place,Restaurant/Diner/Coffee Shop,Damage/Vandalism Of Property,1,"""Regulatory and Non-Violent Offenses""",Bland,"Bland,East/West","92.07,532.91"
200 W KINGSTON AV,28203,35.214669,-80.860049,Central,388,2019/11/28 00:00:00+00,Outdoors,Open Area,Other - Open Area,Simple Assault,0,"""Violent and Public Safety Offenses""",Bland,"East/West,Bland","313.04,452.73"
1400 S TRYON ST,28203,35.216686,-80.855588,Central,339,2024/09/21 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,Pocket-Picking,4,"""Theft-Related Offenses""",Bland,Bland,98.98
600 N COLLEGE ST,28202,35.23009,-80.836581,Central,476,2017/04/17 00:00:00+00,Outdoors,Open Area,Street/Highway,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",9th Street,9th Street,150.23
1800 SOUTH BV,28203,35.211751,-80.857709,Central,3,2019/02/07 00:00:00+00,Outdoors,Open Area,Street/Highway,Aggravated Assault,0,"""Violent and Public Safety Offenses""",East/West,East/West,134.62
300 S TRYON ST,28202,35.225651,-80.845306,Central,476,2020/02/05 00:00:00+00,Outdoors,Commercial Place,Restaurant/Diner/Coffee Shop,All Other Thefts,8,Theft and Vehicle Offenses,CTC/Arena,"3rd St/Convention,CTC/Arena","304.97,363.6"
900 N COLLEGE ST,28206,35.232917,-80.832622,Central,476,2023/07/06 00:00:00+00,Indoors,Public/Non-Residential,Other - Public/Non-Residential,Simple Assault,0,"""Violent and Public Safety Offenses""",9th Street,9th Street,417.26
1000 MOREHEAD SQUARE DR,28203,35.220241,-80.850418,Central,476,2023/02/02 00:00:00+00,Other,Open Area,Construction Site,Trespass Of Real Property,1,"""Regulatory and Non-Violent Offenses""",Brooklyn Village,"Carson,Brooklyn Village","154.45,341.21"
300 N DAVIDSON ST,28202,35.224467,-80.835845,Central,476,2022/02/20 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,Motor Vehicle Theft,8,Theft and Vehicle Offenses,7th Street,7th Street,365.85
100 W MOREHEAD ST,28202,35.221779,-80.85213,Central,476,2024/04/14 00:00:00+00,Outdoors,Residential,Apartment/Duplex Private Res,False Pretenses/Swindle,2,Fraud and Financial Crimes,Carson,Carson,341.54
200 S TRYON ST,28202,35.226412,-80.844208,Central,476,2022/12/16 00:00:00+00,Indoors,Commercial Place,Fitness Center,All Other Thefts,8,Theft and Vehicle Offenses,CTC/Arena,"CTC/Arena,3rd St/Convention","300.47,327.83"
200 W KINGSTON AV,28202,35.214669,-80.860049,Central,388,2017/06/09 00:00:00+00,Parking Lot,Retail,Convenience Store,Simple Assault,0,"""Violent and Public Safety Offenses""",Bland,"East/West,Bland","313.04,452.73"
600 E TRADE ST,28202,35.222915,-80.83802,Central,476,2023/10/22 00:00:00+00,Indoors,Residential,Private Residence,Statutory Rape,3,Sexual Assault Crimes,7th Street,"CTC/Arena,7th Street","384.08,477.44"
300 S CHURCH ST,28202,35.226138,-80.847028,Central,476,2024/05/31 00:00:00+00,Outdoors,Open Area,Public Park/Playground,All Other Thefts,8,Theft and Vehicle Offenses,3rd St/Convention,3rd St/Convention,457.15
900 N COLLEGE ST,28202,35.232917,-80.832622,Central,476,2018/01/31 00:00:00+00,Outdoors,Public/Non-Residential,Other - Public/Non-Residential,Public Accident,0,"""Violent and Public Safety Offenses""",9th Street,9th Street,417.26
400 S TRYON ST,28202,35.22492,-80.846381,Central,476,2021/09/01 00:00:00+00,Parking Deck,Commercial Place,Other - Commercial Place,Damage/Vandalism Of Property,1,"""Regulatory and Non-Violent Offenses""",3rd St/Convention,"3rd St/Convention,Brooklyn Village","335.32,394.77"
500 E 8TH ST,28202,35.226813,-80.834672,Central,476,2022/08/08 00:00:00+00,Parking Lot,Residential,Apartment/Duplex Private Res,Aggravated Assault,0,"""Violent and Public Safety Offenses""",9th Street,"7th Street,9th Street","311.59,321.56"
200 W MARTIN LUTHER KING JR BV,28202,35.225846,-80.847447,Central,476,2020/11/04 00:00:00+00,Indoors,Retail,Convenience Store,Shoplifting,4,"""Theft-Related Offenses""",3rd St/Convention,3rd St/Convention,469.97
100 W 5TH ST,28202,35.227994,-80.841946,Central,476,2018/03/11 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,Pocket-Picking,4,"""Theft-Related Offenses""",7th Street,"CTC/Arena,7th Street","335.87,363.89"
100 W TREMONT AV,28203,35.210487,-80.860549,Central,338,2022/09/20 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,Impersonation,2,Fraud and Financial Crimes,East/West,East/West,204.25
200 W MARTIN LUTHER KING JR BV,28202,35.225846,-80.847447,Central,476,2019/03/15 00:00:00+00,Indoors,Retail,Convenience Store,Shoplifting,4,"""Theft-Related Offenses""",3rd St/Convention,3rd St/Convention,469.97
1100 S TRYON ST,28203,35.219598,-80.85258,Central,476,2024/01/26 00:00:00+00,Indoors,Retail,Vehicle Dealership,Burglary/B&E,7,"""Coercive and Violent Offenses""",Carson,"Carson,Bland","177.57,484.77"
600 S COLLEGE ST,28202,35.222488,-80.847424,Central,476,2022/11/02 00:00:00+00,Indoors,Commercial Place,Hotel/Motel,All Other Thefts,8,Theft and Vehicle Offenses,3rd St/Convention,"Brooklyn Village,3rd St/Convention","129.49,416.18"
600 E TRADE ST,28202,35.222915,-80.83802,Central,476,2021/06/29 00:00:00+00,Indoors,Residential,Private Residence,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,7th Street","384.08,477.44"
200 E 7TH ST,28202,35.228585,-80.838701,Central,476,2026/01/02 00:00:00+00,Parking Lot,Open Area,Other - Open Area,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,9th Street,"7th Street,9th Street,CTC/Arena","162.23,358.76,466.85"
100 S TRYON ST,28202,35.227199,-80.843083,Central,476,2020/01/01 00:00:00+00,Indoors,Commercial Place,Other - Commercial Place,All Other Thefts,8,Theft and Vehicle Offenses,CTC/Arena,"CTC/Arena,3rd St/Convention","288.46,398.03"
2000 SOUTH BV,28203,35.209772,-80.859833,Central,3,2023/07/07 00:00:00+00,Outdoors,Open Area,Street/Highway,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",East/West,East/West,247.89
1700 SOUTH BV,28203,35.212734,-80.856643,Central,3,2025/03/05 00:00:00+00,Outdoors,Commercial Place,Office,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",Bland,"East/West,Bland","246.28,365.07"
200 E BLAND ST,28203,35.217008,-80.854286,Central,3,2020/07/06 00:00:00+00,Parking Deck,Residential,Apartment/Duplex Private Res,All Other Thefts,8,Theft and Vehicle Offenses,Bland,Bland,158.91
600 E MOREHEAD ST,28202,35.217502,-80.848028,Providence,3,2025/10/26 00:00:00+00,Outdoors,Retail,Other - Retail,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",Carson,Carson,297.86
600 S COLLEGE ST,28202,35.222488,-80.847424,Central,476,2023/01/15 00:00:00+00,Indoors,Commercial Place,Hotel/Motel,All Other Thefts,8,Theft and Vehicle Offenses,3rd St/Convention,"Brooklyn Village,3rd St/Convention","129.49,416.18"
1600 CAMDEN RD,28203,35.214699,-80.857006,Central,388,2021/06/25 00:00:00+00,Outdoors,Commercial Place,Restaurant/Diner/Coffee Shop,All Other Thefts,8,Theft and Vehicle Offenses,Bland,"Bland,East/West","201.02,363.88"
600 E 10TH ST,28205,35.22752,-80.831546,Central,476,2020/02/29 00:00:00+00,Outdoors,Open Area,Street/Highway,Aggravated Assault,0,"""Violent and Public Safety Offenses""",9th Street,9th Street,396.53
300 S CHURCH ST,28202,35.226138,-80.847028,Central,476,2017/04/11 00:00:00+00,Outdoors,Open Area,Other - Open Area,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",3rd St/Convention,3rd St/Convention,457.15
200 DOGGETT ST,28203,35.211775,-80.862719,Central,388,2021/07/10 00:00:00+00,Parking Deck,Public/Non-Residential,Other - Public/Non-Residential,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,East/West,East/West,323.53
700 N TRYON ST,28277,35.23185,-80.836487,Central,476,2025/09/07 00:00:00+00,Outdoors,Open Area,Street/Highway,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",9th Street,9th Street,274.15
100 N TRYON ST,28202,35.227199,-80.843083,Central,476,2023/12/19 00:00:00+00,Outdoors,Open Area,Other - Open Area,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","288.46,398.03"
100 E TRADE ST,28202,35.227199,-80.843083,Central,476,2019/02/16 00:00:00+00,Outdoors,Open Area,Street/Highway,Simple Assault,0,"""Violent and Public Safety Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","288.46,398.03"
400 N COLLEGE ST,28202,35.228585,-80.838701,Central,476,2019/05/15 00:00:00+00,Outdoors,Open Area,Street/Highway,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,9th Street,"7th Street,9th Street,CTC/Arena","162.23,358.76,466.85"
2100 SOUTHEND DR,28203,35.207236,-80.859618,Providence,3,2024/06/16 00:00:00+00,Parking Lot,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,East/West,East/West,523.27
