YEAR,LOCATION,ZIP,LATITUDE_PUBLIC,LONGITUDE_PUBLIC,CMPD_PATROL_DIVISION,NPA,DATE_REPORTED,LOCATION_TYPE_DESCRIPTION,PLACE_TYPE_DESCRIPTION,PLACE_DETAIL_DESCRIPTION,HIGHEST_NIBRS_DESCRIPTION,cluster,cluster_title,index_right,name,lat,lon,tempmax,tempmin,temp,precip,precipcover,cloudcover,humidity,windspeed,visibility,snow,conditions,DATE_INCIDENT_BEGAN,nearest_station,stations_in_radius,stations_in_radius_dist_m,x,y,x_snap,y_snap,centroid_id,nearest_tree_dist_m,trees_within_10m,trees_within_25m,trees_within_50m,nearest_tree_dist_ft
2024,200 E TRADE ST,28202,35.23,-80.84,Central,476,2024-12-29,Indoors,Commercial Place,Hotel/Motel,False Pretenses/Swindle,0,Fraudulent Financial Crimes,1,7th Street,35.22722,-80.83806,63.9,49.9,59.1,0.204,20.83,80.2,86.9,18.2,7.0,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2024,200 E TRADE ST,28202,35.23,-80.84,Central,476,2024-12-29,Indoors,Commercial Place,Hotel/Motel,False Pretenses/Swindle,0,Fraudulent Financial Crimes,2,CTC/Arena,35.225,-80.84139,63.9,49.9,59.1,0.204,20.83,80.2,86.9,18.2,7.0,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2024,200 E TRADE ST,28202,35.23,-80.84,Central,476,2024-12-29,Indoors,Commercial Place,Hotel/Motel,False Pretenses/Swindle,0,Fraudulent Financial Crimes,3,3rd St/Convention,35.22361,-80.84306,63.9,49.9,59.1,0.204,20.83,80.2,86.9,18.2,7.0,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2024,100 W CATHERINE ST,28203,35.22,-80.85,Central,339,2024-01-08,Parking Deck,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,1,Property Theft and Vandalism,6,Bland,35.21583,-80.85528,48.7,31.4,40.4,0.0,0.0,62.0,58.6,10.3,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2024,200 N TRYON ST,28202,35.23,-80.84,Central,476,2024-04-27,Other,Commercial Place,Other - Commercial Place,Damage/Vandalism Of Property,1,Property Theft and Vandalism,1,7th Street,35.22722,-80.83806,75.3,59.7,67.3,0.0,0.0,85.2,64.2,13.4,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2024,200 N TRYON ST,28202,35.23,-80.84,Central,476,2024-04-27,Other,Commercial Place,Other - Commercial Place,Damage/Vandalism Of Property,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,75.3,59.7,67.3,0.0,0.0,85.2,64.2,13.4,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2025,100 N TRYON ST,28202,35.23,-80.84,Central,476,2025-01-10,Outdoors,Open Area,Street/Highway,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",2,CTC/Arena,35.225,-80.84139,33.9,24.2,29.0,0.2,33.33,85.0,61.6,7.7,7.7,0.1,"Snow, Rain, Partially cloudy",,,,,,,,,,,,,,
2025,100 N TRYON ST,28202,35.23,-80.84,Central,476,2025-01-10,Outdoors,Open Area,Street/Highway,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",3,3rd St/Convention,35.22361,-80.84306,33.9,24.2,29.0,0.2,33.33,85.0,61.6,7.7,7.7,0.1,"Snow, Rain, Partially cloudy",,,,,,,,,,,,,,
2024,300 E TRADE ST,28202,35.23,-80.84,Central,476,2024-02-07,Outdoors,Commercial Place,Other - Commercial Place,Drug/Narcotic Violations,3,"""Regulatory and Nonviolent Offenses""",1,7th Street,35.22722,-80.83806,53.9,30.6,42.4,0.0,0.0,13.1,44.4,9.3,9.9,0.0,Clear,,,,,,,,,,,,,,
2024,300 E TRADE ST,28202,35.23,-80.84,Central,476,2024-02-07,Outdoors,Commercial Place,Other - Commercial Place,Drug/Narcotic Violations,3,"""Regulatory and Nonviolent Offenses""",2,CTC/Arena,35.225,-80.84139,53.9,30.6,42.4,0.0,0.0,13.1,44.4,9.3,9.9,0.0,Clear,,,,,,,,,,,,,,
2024,300 E TRADE ST,28202,35.23,-80.84,Central,476,2024-02-07,Outdoors,Commercial Place,Other - Commercial Place,Drug/Narcotic Violations,3,"""Regulatory and Nonviolent Offenses""",3,3rd St/Convention,35.22361,-80.84306,53.9,30.6,42.4,0.0,0.0,13.1,44.4,9.3,9.9,0.0,Clear,,,,,,,,,,,,,,
2021,800 N COLLEGE ST,28206,35.23,-80.83,Central,476,2021-02-19,Outdoors,Open Area,Street/Highway,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",0,9th Street,35.2297,-80.835,51.4,35.9,41.6,0.456,25.0,79.9,78.7,8.7,9.0,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2018,200 E TRADE ST,28202,35.23,-80.84,Central,476,2018-03-31,Indoors,Commercial Place,Bar/Tavern/Nightclub,Counterfeiting/Forgery,8,Fraudulent Identity Crimes,1,7th Street,35.22722,-80.83806,65.9,38.9,53.4,0.0,0.0,25.8,42.7,13.8,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2018,200 E TRADE ST,28202,35.23,-80.84,Central,476,2018-03-31,Indoors,Commercial Place,Bar/Tavern/Nightclub,Counterfeiting/Forgery,8,Fraudulent Identity Crimes,2,CTC/Arena,35.225,-80.84139,65.9,38.9,53.4,0.0,0.0,25.8,42.7,13.8,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2018,200 E TRADE ST,28202,35.23,-80.84,Central,476,2018-03-31,Indoors,Commercial Place,Bar/Tavern/Nightclub,Counterfeiting/Forgery,8,Fraudulent Identity Crimes,3,3rd St/Convention,35.22361,-80.84306,65.9,38.9,53.4,0.0,0.0,25.8,42.7,13.8,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2017,200 S BREVARD ST,28202,35.22,-80.84,Central,476,2017-10-17,Parking Lot,Open Area,Other - Open Area,Damage/Vandalism Of Property,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,66.9,44.3,56.0,0.0,0.0,12.9,57.9,11.9,9.9,0.0,Clear,,,,,,,,,,,,,,
2017,200 S BREVARD ST,28202,35.22,-80.84,Central,476,2017-10-17,Parking Lot,Open Area,Other - Open Area,Damage/Vandalism Of Property,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,66.9,44.3,56.0,0.0,0.0,12.9,57.9,11.9,9.9,0.0,Clear,,,,,,,,,,,,,,
2024,2100 SOUTH BV,28203,35.21,-80.86,Central,3,2024-08-31,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",7,East/West,35.21194,-80.85917,88.0,69.8,78.1,0.024,4.17,70.2,78.1,5.7,8.8,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2025,600 N CHURCH ST,28202,35.23,-80.84,Central,476,2025-01-04,Parking Lot,Residential,Other - Residential,Simple Assault,4,Sexual Violence Offenses,0,9th Street,35.2297,-80.835,43.8,28.1,35.0,0.0,0.0,8.5,34.9,14.2,9.9,0.0,Clear,,,,,,,,,,,,,,
2018,200 S CHURCH ST,28202,35.23,-80.85,Huntersville,462,2018-08-01,Outdoors,Open Area,Street/Highway,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",2,CTC/Arena,35.225,-80.84139,86.8,71.0,75.7,1.084,37.5,92.6,89.8,13.9,8.5,0.0,"Rain, Overcast",,,,,,,,,,,,,,
2018,200 S CHURCH ST,28202,35.23,-80.85,Huntersville,462,2018-08-01,Outdoors,Open Area,Street/Highway,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",3,3rd St/Convention,35.22361,-80.84306,86.8,71.0,75.7,1.084,37.5,92.6,89.8,13.9,8.5,0.0,"Rain, Overcast",,,,,,,,,,,,,,
2022,100 N TRYON ST,28202,35.23,-80.84,Central,476,2022-03-15,Outdoors,Open Area,Street/Highway,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",2,CTC/Arena,35.225,-80.84139,66.5,38.4,54.8,0.0,0.0,49.0,55.6,8.4,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2022,100 N TRYON ST,28202,35.23,-80.84,Central,476,2022-03-15,Outdoors,Open Area,Street/Highway,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",3,3rd St/Convention,35.22361,-80.84306,66.5,38.4,54.8,0.0,0.0,49.0,55.6,8.4,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2025,100 S TRYON ST,28202,35.23,-80.84,Central,476,2025-03-16,Outdoors,Open Area,Street/Highway,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",2,CTC/Arena,35.225,-80.84139,76.7,62.9,68.7,0.569,20.83,83.2,65.7,23.4,9.0,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2025,100 S TRYON ST,28202,35.23,-80.84,Central,476,2025-03-16,Outdoors,Open Area,Street/Highway,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",3,3rd St/Convention,35.22361,-80.84306,76.7,62.9,68.7,0.569,20.83,83.2,65.7,23.4,9.0,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2021,500 E MARTIN LUTHER KING JR BV,28202,35.22,-80.84,Central,476,2021-02-24,Parking Deck,Commercial Place,Hotel/Motel,Theft From Motor Vehicle,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,72.2,34.0,54.5,0.0,0.0,20.2,52.3,14.3,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2021,500 E MARTIN LUTHER KING JR BV,28202,35.22,-80.84,Central,476,2021-02-24,Parking Deck,Commercial Place,Hotel/Motel,Theft From Motor Vehicle,1,Property Theft and Vandalism,4,Brooklyn Village,35.22139,-80.84694,72.2,34.0,54.5,0.0,0.0,20.2,52.3,14.3,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2022,100 S BREVARD ST,28202,35.22,-80.84,Central,476,2022-03-02,Outdoors,Open Area,Street/Highway,Motor Vehicle Theft,1,Property Theft and Vandalism,1,7th Street,35.22722,-80.83806,76.6,37.6,58.6,0.0,0.0,7.4,45.1,12.2,9.9,0.0,Clear,,,,,,,,,,,,,,
2022,100 S BREVARD ST,28202,35.22,-80.84,Central,476,2022-03-02,Outdoors,Open Area,Street/Highway,Motor Vehicle Theft,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,76.6,37.6,58.6,0.0,0.0,7.4,45.1,12.2,9.9,0.0,Clear,,,,,,,,,,,,,,
2022,100 S BREVARD ST,28202,35.22,-80.84,Central,476,2022-03-02,Outdoors,Open Area,Street/Highway,Motor Vehicle Theft,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,76.6,37.6,58.6,0.0,0.0,7.4,45.1,12.2,9.9,0.0,Clear,,,,,,,,,,,,,,
2021,300 W TREMONT AV,28203,35.21,-80.86,Central,338,2021-02-04,Other,Commercial Place,Other - Commercial Place,Identity Theft,1,Property Theft and Vandalism,7,East/West,35.21194,-80.85917,48.9,25.1,38.4,0.0,0.0,69.5,47.3,11.7,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2018,100 W TRADE ST,28202,35.23,-80.84,Central,476,2018-12-31,Indoors,Commercial Place,Hotel/Motel,Credit Card/Teller Fraud,0,Fraudulent Financial Crimes,2,CTC/Arena,35.225,-80.84139,66.9,53.9,58.6,0.151,33.33,98.5,98.0,13.4,2.2,0.0,"Rain, Overcast",,,,,,,,,,,,,,
2018,100 W TRADE ST,28202,35.23,-80.84,Central,476,2018-12-31,Indoors,Commercial Place,Hotel/Motel,Credit Card/Teller Fraud,0,Fraudulent Financial Crimes,3,3rd St/Convention,35.22361,-80.84306,66.9,53.9,58.6,0.151,33.33,98.5,98.0,13.4,2.2,0.0,"Rain, Overcast",,,,,,,,,,,,,,
2023,1800 CAMDEN RD,28203,35.21,-80.86,Central,388,2023-01-08,Outdoors,Commercial Place,Other - Commercial Place,Simple Assault,4,Sexual Violence Offenses,6,Bland,35.21583,-80.85528,49.6,39.8,45.5,0.228,25.0,96.7,76.9,12.2,8.4,0.0,"Rain, Overcast",,,,,,,,,,,,,,
2023,1800 CAMDEN RD,28203,35.21,-80.86,Central,388,2023-01-08,Outdoors,Commercial Place,Other - Commercial Place,Simple Assault,4,Sexual Violence Offenses,7,East/West,35.21194,-80.85917,49.6,39.8,45.5,0.228,25.0,96.7,76.9,12.2,8.4,0.0,"Rain, Overcast",,,,,,,,,,,,,,
2021,200 E TRADE ST,28202,35.23,-80.84,Central,476,2021-04-23,Outdoors,Commercial Place,ATM,Credit Card/Teller Fraud,0,Fraudulent Financial Crimes,1,7th Street,35.22722,-80.83806,63.0,34.9,51.3,0.0,0.0,50.7,50.6,8.4,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2021,200 E TRADE ST,28202,35.23,-80.84,Central,476,2021-04-23,Outdoors,Commercial Place,ATM,Credit Card/Teller Fraud,0,Fraudulent Financial Crimes,2,CTC/Arena,35.225,-80.84139,63.0,34.9,51.3,0.0,0.0,50.7,50.6,8.4,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2021,200 E TRADE ST,28202,35.23,-80.84,Central,476,2021-04-23,Outdoors,Commercial Place,ATM,Credit Card/Teller Fraud,0,Fraudulent Financial Crimes,3,3rd St/Convention,35.22361,-80.84306,63.0,34.9,51.3,0.0,0.0,50.7,50.6,8.4,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2024,500 NORTH ELLIS LN,28202,35.23,-80.84,Central,476,2024-10-05,Parking Lot,Open Area,Open Field,Theft From Motor Vehicle,1,Property Theft and Vandalism,0,9th Street,35.2297,-80.835,83.7,65.7,73.9,0.0,0.0,42.3,69.3,8.8,8.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2024,500 NORTH ELLIS LN,28202,35.23,-80.84,Central,476,2024-10-05,Parking Lot,Open Area,Open Field,Theft From Motor Vehicle,1,Property Theft and Vandalism,1,7th Street,35.22722,-80.83806,83.7,65.7,73.9,0.0,0.0,42.3,69.3,8.8,8.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2022,2200 HAWKINS ST,28203,35.21,-80.86,Central,338,2022-02-26,Indoors,Residential,Apartment/Duplex Private Res,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",7,East/West,35.21194,-80.85917,52.7,44.7,48.8,0.0,0.0,81.5,52.8,13.3,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2017,400 FIRST WARD CT,28202,35.23,-80.83,Central,476,2017-08-29,Indoors,Residential,Apartment/Duplex Private Res,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",0,9th Street,35.2297,-80.835,75.5,64.3,69.1,0.042,20.83,93.5,82.1,16.1,9.2,0.0,"Rain, Overcast",,,,,,,,,,,,,,
2018,200 E 11TH ST,28202,35.23,-80.83,Central,476,2018-07-21,Outdoors,Open Area,Street/Highway,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",0,9th Street,35.2297,-80.835,89.8,68.2,78.2,0.003,8.33,63.2,73.3,9.3,9.7,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2020,200 S TRYON ST,28202,35.23,-80.84,Central,476,2020-06-15,Outdoors,Open Area,Street/Highway,Damage/Vandalism Of Property,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,71.2,59.2,65.5,0.0,0.0,77.2,67.0,17.5,9.6,0.0,Partially cloudy,,,,,,,,,,,,,,
2020,200 S TRYON ST,28202,35.23,-80.84,Central,476,2020-06-15,Outdoors,Open Area,Street/Highway,Damage/Vandalism Of Property,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,71.2,59.2,65.5,0.0,0.0,77.2,67.0,17.5,9.6,0.0,Partially cloudy,,,,,,,,,,,,,,
2024,1200 S TRYON ST,28203,35.22,-80.85,Central,339,2024-08-05,Indoors,Residential,Apartment/Duplex Private Res,All Other Thefts,1,Property Theft and Vandalism,6,Bland,35.21583,-80.85528,89.3,73.5,80.1,0.049,8.33,62.9,75.0,9.6,9.8,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2024,300 S CHURCH ST,28202,35.23,-80.85,Central,476,2024-10-28,Outdoors,Commercial Place,Park and Ride Facility,All Other Thefts,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,66.7,50.0,57.6,0.0,0.0,59.3,69.0,6.2,9.7,0.0,Partially cloudy,,,,,,,,,,,,,,
2025,300 E TRADE ST,28202,35.23,-80.84,Central,476,2025-06-28,Indoors,Open Area,Bus Stop,Stolen Property Offenses,1,Property Theft and Vandalism,1,7th Street,35.22722,-80.83806,91.4,73.6,81.6,0.002,8.33,53.1,68.5,13.3,9.6,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2025,300 E TRADE ST,28202,35.23,-80.84,Central,476,2025-06-28,Indoors,Open Area,Bus Stop,Stolen Property Offenses,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,91.4,73.6,81.6,0.002,8.33,53.1,68.5,13.3,9.6,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2025,300 E TRADE ST,28202,35.23,-80.84,Central,476,2025-06-28,Indoors,Open Area,Bus Stop,Stolen Property Offenses,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,91.4,73.6,81.6,0.002,8.33,53.1,68.5,13.3,9.6,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2021,300 W TRADE ST,28201,35.23,-80.85,,460,2021-12-09,Parking Lot,Open Area,Other - Open Area,Theft From Motor Vehicle,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,46.7,30.0,40.4,0.0,0.0,68.1,72.6,9.0,8.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2023,1400 S CHURCH ST,28202,35.22,-80.86,Central,339,2023-06-30,Outdoors,Open Area,Construction Site,Burglary/B&E,7,"""Fraud and Theft Crimes""",6,Bland,35.21583,-80.85528,89.7,72.7,80.8,0.0,0.0,50.3,66.1,10.7,6.1,0.0,Partially cloudy,,,,,,,,,,,,,,
2017,200 E TRADE ST,28202,35.23,-80.84,Central,476,2017-02-24,Indoors,Commercial Place,Bar/Tavern/Nightclub,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",1,7th Street,35.22722,-80.83806,75.9,49.8,63.7,0.0,0.0,29.0,66.5,9.0,9.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2017,200 E TRADE ST,28202,35.23,-80.84,Central,476,2017-02-24,Indoors,Commercial Place,Bar/Tavern/Nightclub,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",2,CTC/Arena,35.225,-80.84139,75.9,49.8,63.7,0.0,0.0,29.0,66.5,9.0,9.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2017,200 E TRADE ST,28202,35.23,-80.84,Central,476,2017-02-24,Indoors,Commercial Place,Bar/Tavern/Nightclub,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",3,3rd St/Convention,35.22361,-80.84306,75.9,49.8,63.7,0.0,0.0,29.0,66.5,9.0,9.8,0.0,Partially cloudy,,,,,,,,,,,,,,
2025,1400 S CHURCH ST,28203,35.22,-80.86,Central,339,2025-06-08,Parking Deck,Residential,Apartment/Duplex Private Res,Motor Vehicle Theft,1,Property Theft and Vandalism,6,Bland,35.21583,-80.85528,86.0,67.9,76.7,0.0,0.0,67.9,72.6,13.3,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2022,500 E TRADE ST,28202,35.22,-80.84,Central,476,2022-09-14,Parking Lot,Commercial Place,Other - Commercial Place,Damage/Vandalism Of Property,1,Property Theft and Vandalism,1,7th Street,35.22722,-80.83806,79.9,60.3,69.8,0.0,0.0,22.7,65.9,11.3,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2022,500 E TRADE ST,28202,35.22,-80.84,Central,476,2022-09-14,Parking Lot,Commercial Place,Other - Commercial Place,Damage/Vandalism Of Property,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,79.9,60.3,69.8,0.0,0.0,22.7,65.9,11.3,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2022,500 E TRADE ST,28202,35.22,-80.84,Central,476,2022-09-14,Parking Lot,Commercial Place,Other - Commercial Place,Damage/Vandalism Of Property,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,79.9,60.3,69.8,0.0,0.0,22.7,65.9,11.3,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2025,100 W TRADE ST,28202,35.23,-80.84,Central,476,2025-02-27,Outdoors,Commercial Place,Hotel/Motel,Indecent Exposure,2,Sexual Offenses Against Privacy,2,CTC/Arena,35.225,-80.84139,73.9,53.1,61.1,0.0,0.0,52.8,41.4,15.5,9.7,0.0,Partially cloudy,,,,,,,,,,,,,,
2025,100 W TRADE ST,28202,35.23,-80.84,Central,476,2025-02-27,Outdoors,Commercial Place,Hotel/Motel,Indecent Exposure,2,Sexual Offenses Against Privacy,3,3rd St/Convention,35.22361,-80.84306,73.9,53.1,61.1,0.0,0.0,52.8,41.4,15.5,9.7,0.0,Partially cloudy,,,,,,,,,,,,,,
2024,200 S TRYON ST,28202,35.23,-80.84,Central,476,2024-05-15,Parking Lot,Commercial Place,Restaurant/Diner/Coffee Shop,Theft From Motor Vehicle,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,75.7,62.6,67.0,0.362,25.0,83.2,89.4,10.5,5.9,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2024,200 S TRYON ST,28202,35.23,-80.84,Central,476,2024-05-15,Parking Lot,Commercial Place,Restaurant/Diner/Coffee Shop,Theft From Motor Vehicle,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,75.7,62.6,67.0,0.362,25.0,83.2,89.4,10.5,5.9,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2022,100 W SUMMIT AV,28203,35.22,-80.86,Central,339,2022-02-15,Indoors,Commercial Place,Other - Commercial Place,All Other Thefts,1,Property Theft and Vandalism,6,Bland,35.21583,-80.85528,54.9,32.2,43.3,0.0,0.0,24.2,39.5,8.0,9.9,0.0,Partially cloudy,,,,,,,,,,,,,,
2025,500 N COLLEGE ST,28202,35.23,-80.84,Central,476,2025-01-29,Indoors,Retail,Convenience Store,Shoplifting,7,"""Fraud and Theft Crimes""",0,9th Street,35.2297,-80.835,69.2,38.9,53.4,0.0,0.0,17.6,38.1,15.3,9.9,0.0,Clear,,,,,,,,,,,,,,
2025,500 N COLLEGE ST,28202,35.23,-80.84,Central,476,2025-01-29,Indoors,Retail,Convenience Store,Shoplifting,7,"""Fraud and Theft Crimes""",1,7th Street,35.22722,-80.83806,69.2,38.9,53.4,0.0,0.0,17.6,38.1,15.3,9.9,0.0,Clear,,,,,,,,,,,,,,
2021,500 N CHURCH ST,28202,35.23,-80.84,Central,476,2021-12-03,Outdoors,Residential,Apartment/Duplex Private Res,All Other Offenses,3,"""Regulatory and Nonviolent Offenses""",0,9th Street,35.2297,-80.835,76.9,44.7,60.4,0.0,0.0,19.6,55.0,6.7,9.9,0.0,Clear,,,,,,,,,,,,,,
2024,1100 S TRYON ST,28203,35.22,-80.85,Central,476,2024-07-23,Other,Commercial Place,Other - Commercial Place,Theft From Building,1,Property Theft and Vandalism,5,Carson,35.21889,-80.85083,88.0,73.7,79.1,0.379,33.33,59.4,79.1,10.0,9.5,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2024,1100 S TRYON ST,28203,35.22,-80.85,Central,476,2024-07-23,Other,Commercial Place,Other - Commercial Place,Theft From Building,1,Property Theft and Vandalism,6,Bland,35.21583,-80.85528,88.0,73.7,79.1,0.379,33.33,59.4,79.1,10.0,9.5,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2021,1600 S TRYON ST,28203,35.22,-80.86,Central,388,2021-02-20,Outdoors,Open Area,Street/Highway,Driving Under The Influence,1,Property Theft and Vandalism,6,Bland,35.21583,-80.85528,52.0,28.5,39.7,0.0,0.0,13.4,47.8,14.4,9.9,0.0,Clear,,,,,,,,,,,,,,
2021,1600 S TRYON ST,28203,35.22,-80.86,Central,388,2021-02-20,Outdoors,Open Area,Street/Highway,Driving Under The Influence,1,Property Theft and Vandalism,7,East/West,35.21194,-80.85917,52.0,28.5,39.7,0.0,0.0,13.4,47.8,14.4,9.9,0.0,Clear,,,,,,,,,,,,,,
2020,300 S CHURCH ST,28202,35.23,-80.85,Central,476,2020-01-31,Outdoors,Commercial Place,Hotel/Motel,All Other Thefts,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,38.6,30.6,36.3,0.479,37.5,62.7,81.6,9.9,6.8,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2018,200 W MARTIN LUTHER KING JR BV,28202,35.23,-80.85,Central,476,2018-07-01,Outdoors,Commercial Place,Other - Commercial Place,Other Unlisted Non-Criminal,3,"""Regulatory and Nonviolent Offenses""",3,3rd St/Convention,35.22361,-80.84306,92.7,73.0,82.4,0.001,4.17,45.6,73.5,12.4,9.6,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2017,600 E TRADE ST,28202,35.22,-80.84,Central,476,2017-10-13,Indoors,Public/Non-Residential,Government Building,Forcible Fondling,4,Sexual Violence Offenses,1,7th Street,35.22722,-80.83806,73.0,65.8,68.1,0.371,20.83,96.5,90.6,11.7,9.1,0.0,"Rain, Overcast",,,,,,,,,,,,,,
2017,600 E TRADE ST,28202,35.22,-80.84,Central,476,2017-10-13,Indoors,Public/Non-Residential,Government Building,Forcible Fondling,4,Sexual Violence Offenses,2,CTC/Arena,35.225,-80.84139,73.0,65.8,68.1,0.371,20.83,96.5,90.6,11.7,9.1,0.0,"Rain, Overcast",,,,,,,,,,,,,,
2019,200 E BLAND ST,28203,35.22,-80.85,Central,3,2019-10-05,Parking Deck,Residential,Apartment/Duplex Private Res,Theft of Motor Vehicle Parts from Vehicle,1,Property Theft and Vandalism,6,Bland,35.21583,-80.85528,80.8,64.9,68.2,0.008,12.5,85.6,66.2,19.0,9.7,0.0,"Rain, Partially cloudy",,,,,,,,,,,,,,
2022,200 W TRADE ST,28202,35.23,-80.84,Central,476,2022-02-01,Outdoors,Open Area,Other - Open Area,Simple Assault,4,Sexual Violence Offenses,2,CTC/Arena,35.225,-80.84139,52.7,29.1,40.3,0.0,0.0,21.6,57.3,9.3,9.7,0.0,Partially cloudy,,,,,,,,,,,,,,
2017,200 E TRADE ST,28202,35.23,-80.84,Central,476,2017-06-01,Outdoors,Commercial Place,Bar/Tavern/Nightclub,All Other Thefts,1,Property Theft and Vandalism,1,7th Street,35.22722,-80.83806,83.9,62.6,73.5,0.0,0.0,50.5,69.1,5.9,9.6,0.0,Partially cloudy,,,,,,,,,,,,,,
2017,200 E TRADE ST,28202,35.23,-80.84,Central,476,2017-06-01,Outdoors,Commercial Place,Bar/Tavern/Nightclub,All Other Thefts,1,Property Theft and Vandalism,2,CTC/Arena,35.225,-80.84139,83.9,62.6,73.5,0.0,0.0,50.5,69.1,5.9,9.6,0.0,Partially cloudy,,,,,,,,,,,,,,
2017,200 E TRADE ST,28202,35.23,-80.84,Central,476,2017-06-01,Outdoors,Commercial Place,Bar/Tavern/Nightclub,All Other Thefts,1,Property Theft and Vandalism,3,3rd St/Convention,35.22361,-80.84306,83.9,62.6,73.5,0.0,0.0,50.5,69.1,5.9,9.6,0.0,Partially cloudy,,,,,,,,,,,,,,
