OBJECTID,GEOID,Minor_pct,Poverty_pct,Senior_pct,BIPOC_pct,ZeroCar_pct,Disability_pct,LEP_pct,Score_State,Score_Division,Score_MPO,Score_County,Key_CountyFIPS,Key_DivNbr,Key_MPO,GlobalID,Shape__Area,Shape__Length
3902,370710308024,0.15407855,0.126888218,0.101208459,0.203927492,0.018315018,0.153571429,0.012598425,11,10,9,9,71,12,Gaston-Cleveland-Lincoln MPO,89b196e8-4557-4739-8995-de0ed68a94ce,0.000574020930343977,0.116119010407918
3903,370710325083,0.153970827,0.145867099,0.275526742,0.157212318,0.035294118,0.179841897,0.079416532,11,9,9,9,71,12,Gaston-Cleveland-Lincoln MPO,4db7ae7a-f00e-465e-b04b-f275af026b78,0.00047714100014673,0.109484911482433
3904,370710301061,0.118101545,0.173289183,0.267108168,0.259381898,0.025575448,0.13368984,0,7,7.5,7.5,8.5,71,12,Gaston-Cleveland-Lincoln MPO,48396c76-e8dd-4ebe-969e-ecc62cc30be8,0.00100135100137777,0.180766900278499
3905,370710324031,0.074034335,0.070815451,0.270386266,0.012875536,0,0.172043011,0,7.5,6.5,6.5,6.5,71,12,Gaston-Cleveland-Lincoln MPO,50b4f968-c71b-4ea5-8da9-b5d7f8fb7f6e,0.000512219195115904,0.126929677688214
3906,370710313041,0.227060653,0.251944012,0.086054951,0.439606013,0.017027864,0.171652422,0.078336035,14,14,14,14,71,12,Gaston-Cleveland-Lincoln MPO,bf3c5e61-91b8-4e49-8aaf-64213ce7f399,0.000412373968629254,0.115222328953692
3907,371950004021,0.186853317,0.280584297,0.205721242,0.790018259,0.045007032,0.103503185,0,11.5,11.5,11.5,11.5,195,4,Upper Coastal Plain RPO,38b71304-9c05-44ac-8678-8495492b4796,0.000587600402923272,0.127560039480227
3908,371950006021,0.118753093,0.117268679,0.12172192,0.316180109,0,0.052432091,0,8.5,7,7,7,195,4,Upper Coastal Plain RPO,6d1664cf-5e1a-44fc-a0fc-5724a09d7a03,0.000298808414072482,0.0770128763660873
3909,370710314022,0.137398971,0.160911095,0.271858927,0.072005878,0,0.206278027,0.024539877,8,7.5,7.5,7.5,71,12,Gaston-Cleveland-Lincoln MPO,f571e083-fc76-46dd-8910-608f96e380ef,0.000151547027599008,0.0631480175979199
3910,370710317042,0.27221279,0.45557442,0.092246746,0.36672326,0.040707965,0.169444444,0.074225599,16,16,16,16,71,12,Gaston-Cleveland-Lincoln MPO,c01363c7-64b6-4a91-a5f5-11d75db5a000,0.000392895749655509,0.0987663774243348
3911,370419301013,0.282736505,0.360769642,0.231427044,0.676643506,0.185595568,0.179755672,0,15,15.5,15.5,15.5,41,1,Albemarle RPO,10756b07-7925-4c30-a713-2be6553d06e7,0.000251956638749107,0.08169603534259
3912,370970607011,0.143031041,0.233110164,0.103469264,0.238587949,0.012638231,0.054733728,0,9,10,8,9,97,12,Charlotte Regional Transportation Planning Organization,dcf7c6b3-0d23-48d5-9016-448e2ab60291,0.00247199899399675,0.239038639978424
3913,371179705004,0.183922046,0.191230207,0.242387333,0.266747868,0,0.205970149,0.05726257,9.5,10,9.5,10,117,1,Mid-East RPO,55fc7261-fcbf-4135-ae18-a33506f91ea1,0.00762429937026354,0.504559459903024
3914,371179701001,0.126735063,0.321062161,0.251659626,0.504526252,0.027237354,0.222953216,0.004405286,11.5,11.5,11.5,11.5,117,1,Mid-East RPO,abd37ca9-2129-4b58-9c3b-69892c3e71eb,0.00849552039494483,0.650171558911511
3915,371179706001,0.145003266,0.429131287,0.26910516,0.669497061,0.111287758,0.249036237,0,13.5,13.5,13.5,13.5,117,1,Mid-East RPO,ababbea7-7154-4a4c-b6ce-cb49c558bfa2,0.00441405055948962,0.302842291359001
3916,371830527012,0.212101911,0.275796178,0.085987261,0.598089172,0.020862309,0.071133168,0.065708419,12,12,13,13,183,5,Capital Area MPO,853c35f4-f5a1-426b-b7c7-49333aedddb5,0.000287096859210578,0.0808997762231104
3917,371570412004,0.136125654,0.471204188,0.22513089,0.610471204,0.095348837,0.106567534,0.015334064,11,11,13.5,14.5,157,7,Piedmont Triad RPO,eb7952d1-9be8-4c6f-baeb-5e8c6a5459a2,0.000147825357998954,0.0707430309683386
3918,371570401013,0.13752784,0.188195991,0.110801782,0.461024499,0.030656934,0.083058668,0.024096386,10,10,11,12.5,157,7,Piedmont Triad RPO,08d4d5b3-20df-4ef6-874f-45710a9041b3,0.00149666932679793,0.161178626332851
3919,371570406023,0.202008929,0.306919643,0.170758929,0.253348214,0.087719298,0.141802068,0,10.5,10.5,11.5,12,157,7,Piedmont Triad RPO,ef8d4bb6-423b-4323-8219-5fbc4ce15cee,0.00191009449099511,0.247650418778097
3920,370670029032,0.154525386,0.258278146,0.104856512,0.558498896,0,0.035150646,0.080070134,12,12,12,12,67,9,Winston Salem Urban Area MPO,56b8997c-4647-4114-b92e-0a0cab4d0fe9,0.000531675775391705,0.108510924730889
