INCIDENT_REPORT_ID,LOCATION,ZIP,LATITUDE_PUBLIC,LONGITUDE_PUBLIC,CMPD_PATROL_DIVISION,NPA,LOCATION_TYPE_DESCRIPTION,PLACE_TYPE_DESCRIPTION,PLACE_DETAIL_DESCRIPTION,HIGHEST_NIBRS_DESCRIPTION,date,year,hour,day_type,cluster,cluster_title,geometry,nearest_station,station_list
20220311-1317-00,200 E TRADE ST,28208,35.226243,-80.841973,Central,476,Indoors,Public/Non-Residential,Hospital/Medical Facility,Robbery,2022-03-11,2022,13,Weekday,7,"""Financial and Personal Crimes""",POINT (-80.841973 35.226243),CTC/Arena,"['CTC/Arena', '3rd St/Convention', '7th Street']"
20170209-1432-00,600 E TRADE ST,28208,35.222915,-80.83802,Central,476,Outdoors,Residential,Private Residence,Drug/Narcotic Violations,2017-02-09,2017,14,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.83802 35.222915),CTC/Arena,"['CTC/Arena', '7th Street']"
20240308-1445-06,300 E TRADE ST,28208,35.226243,-80.841973,Central,476,Other,Commercial Place,Bus - CATS Bus/Vehicle,All Other Thefts,2024-03-08,2024,14,Weekday,1,Property Theft and Vandalism,POINT (-80.841973 35.226243),CTC/Arena,"['CTC/Arena', '3rd St/Convention', '7th Street']"
20180720-1502-00,100 S COLLEGE ST,28208,35.226243,-80.841973,,116,Outdoors,Open Area,Street/Highway,Public Accident,2018-07-20,2018,15,Weekday,9,Non-Criminal Incident Reports,POINT (-80.841973 35.226243),CTC/Arena,"['CTC/Arena', '3rd St/Convention', '7th Street']"
20220817-1457-01,400 E 12TH ST,28208,35.230711,-80.831337,Central,476,Indoors,Residential,Apartment/Duplex Private Res,Burglary/B&E,2022-08-17,2022,14,Weekday,7,"""Financial and Personal Crimes""",POINT (-80.831337 35.230711),9th Street,['9th Street']
20171118-1836-00,300 E 6TH ST,28208,35.227841,-80.839745,Central,476,Parking Deck,Commercial Place,Hotel/Motel,All Other Offenses,2017-11-18,2017,18,Saturday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.839745 35.227841),7th Street,"['7th Street', 'CTC/Arena', '9th Street']"
20220822-1002-00,200 S TRYON ST,28208,35.226412,-80.844208,Central,476,Outdoors,Commercial Place,Hotel/Motel,Motor Vehicle Theft,2022-08-22,2022,10,Weekday,1,Property Theft and Vandalism,POINT (-80.844208 35.226412),CTC/Arena,"['CTC/Arena', '3rd St/Convention']"
20190906-1028-02,200 W 10TH ST,28208,35.23278,-80.837512,Central,476,Indoors,Residential,Apartment/Duplex Private Res,Sudden/Natural Death Investigation,2019-09-06,2019,10,Weekday,9,Non-Criminal Incident Reports,POINT (-80.837512 35.23278),9th Street,['9th Street']
20220603-1938-00,2100 SOUTH BV,28208,35.207769,-80.860343,Central,3,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,Weapon Law Violations,2022-06-03,2022,19,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.860343 35.207769),East/West,['East/West']
20230707-0731-04,2000 CLEVELAND AV,28208,35.208966,-80.85866,Providence,3,Outdoors,Open Area,Construction Site,Burglary/B&E,2023-07-07,2023,7,Weekday,7,"""Financial and Personal Crimes""",POINT (-80.85866 35.208966),East/West,['East/West']
