OBJECTID,Corridor,Station,ProjectName,ProjectAddress,Status,ProjectType,LandUse,ResidentialUnits,AffordableUnits,HotelRooms,WalkDistance,EstimtatedCost,Completed,Developer,PublicFacing,Notes,ImageURL,OfficeSqFeet,RetailSqFeet,NonResSF,DateCompleted,Parking,SecCorridor,ShapeSTArea,ShapeSTLength
263,BL,EAWT,300 Rampart,300 Rampart St,Complete,ADR,RET,0,0,0,0.41,5185730,2022,,Yes,,,0,47143,47143,,42,,102339.952722376,1324.90067992281
264,BL,I485S,Blu on South,9725 China Grove Church Rd.,Complete,NEWC,TWHM,44,0,0,0.3,9875000,2020,,Yes,,,0,0,0,,,,221353.81996544,2400.66530815919
265,BL,I485S,Volkswagen of South Charlotte,9900 South Bv,Complete,NEWC,RET,0,0,0,0.3,4600000,2008,,Yes,,,0,15707,15707,,,,115464.215472817,1380.40677832093
266,BL,NBN,Bee Safe Storage,2625 S Tryon St,Complete,NEWC,RET,0,0,0,0.5,1000000,2021,,Yes,,,0,102000,102000,,24,,51167.6188464187,1028.10395514176
267,BL,NBN,Elliott Marketing Group,200 Foster Ave,Complete,RENOA,OFF,0,0,0,0.18,700000,2022,,Yes,,,6818,0,6818,,17,,22297.1662114829,612.289062952645
268,BL,NBN,Sedgefield Retail,2825 South Bv,Under Construction,NEWC,MIXU,0,0,0,0.15,19800000,,Marsh Properties,Yes,,,111200,20685,131885,,,,140075.002536941,1487.30940072356
269,BL,NBN,Southpoint Phase 2,301 REMOUNT RD,Complete,NEWC,TWHM,31,0,0,0.4,6200000,2018,,Yes,,,0,0,0,,62,,78666.921575146,1134.9762063199
270,BL,NBN,The Platform,3232 SOUTH BV,Under Construction,RENOA,MIXU,0,0,0,0.28,14000000,,Investicore,Yes,,,,,49093,,,,46690.2104110157,1022.29266643782
271,BL,SCB,South Tryon Townhomes,4001 S Tryon St,Under Construction,NEWC,TWHM,87,0,0,0.25,17400000,,,Yes,,,0,0,0,,,,196983.622067385,1764.81523535123
272,BL,SCB,Kairoi LoSo,3722 S Tryon St,Proposed,NEWC,MTF,476,0,0,0.5,,,,Yes,,,,,,,,,552389.300539068,3692.09132696341
273,BL,SCB,Flex Commercial,3601 South Bv.,Complete,RENOA,RET,0,0,0,0.18,325000,2022,,Yes,,,0,6140,6140,,34,,11321.2853003529,579.538489557332
274,BL,BKV,Honeywell Tower,855 S Mint St,Complete,NEWC,MIXU,0,0,0,0.4,120000000,2020,Lincoln Harris,Yes,,,300000,10000,310000,,800,,52395.9967851649,1117.34201660252
275,BL,WDL,200 Woodlawn Apartments,200 E Woodlawn,Complete,NEWC,MTF,304,0,0,0.4,67000000,2022,West Plan,Yes,,,0,0,0,,,,320952.306697254,2367.36798358205
276,BL,WDL,200 Woodlawn Townhomes,200 E WOODLAWN RD,Under Construction,NEWC,TWHM,194,0,0,0.3,38000000,,West Plan,Yes,,,0,0,0,,387,,301548.298429355,2578.58221800603
277,BL,WDL,Elan LoSo,4601 MACIE ST,Under Construction,NEWC,MTF,380,0,0,0.6,85500000,,Greystar,Yes,,,0,0,0,,572,,195652.0651983,1989.67698252685
278,BL,TYV,Cunningham Recreation,5818 Old Pineville Rd.,Complete,NEWC,OFF,0,0,0,0.14,3300000,2020,Cunningham Recreation,Yes,,,6315,0,6315,,25,,52560.4828527337,935.537264914247
279,BL,TYV,Mission Properties,5800 Old Pineville Road,Complete,NEWC,OFF,0,0,0,0.13,3366600,2020,,Yes,,,18176,0,18176,,,,45690.0917010401,883.252052388938
280,BL,TYV,Establishment at Tyvola,1001 Tyvola Rd.,Complete,NEWC,,297,0,0,0.15,44500000,2022,,Yes,,,,,,,,,447180.421400033,2925.61085538541
281,BLE,9,,1000 N Davidson St,Under Construction,NEWC,,282,,,,,,,,,,,,,,,,91779.5895601603,1649.92307148439
282,BLE,36,COHAB,720 E 36th St,Under Construction,NEWC,MIXU,60,3,0,0.3,13500000,,COHAB DEVELOPMENT ROMA HOMES,Yes,,,0,4300,4300,,,,38658.4474810268,786.6496445021
283,BLE,36,Landings at NoDa,955 E 36th St,Complete,NEWC,TWHM,55,6,0,0.5,12200000,2022,Shea Homes,Yes,,,0,0,0,,,,153341.514545515,1713.4648098613
284,BLE,36,Spencer Towns,905 E 36TH ST,Complete,NEWC,TWHM,28,0,0,0.45,5300000,2019,Saussy Burbank,Yes,,,0,0,0,,,,63473.6990810615,1083.785618078
285,BLE,36,36th & McDowell Apartments,3300 McDowell St,Complete,NEWC,MTF,17,0,0,0.33,2500000,2010,Lat Purser,Yes,,,0,0,0,,,,16848.8868435843,594.597112198207
286,BLE,36,Noda Phase 2 - Retail Building,424 E 36th ST,Complete,NEWC,RET,0,0,0,0.01,5000000,2017,Crescent Communities,Yes,,,0,22780,22780,,451,,39302.9417146642,856.204878635497
287,BLE,36,Link NoDa Office,315 Philemon Av,Under Construction,NEWC,OFF,0,0,0,0.08,50040126,,Grubb Properties,Yes,,,128323,0,128323,,,,38096.4421564286,790.184938859134
288,BLE,36,Link NoDa MF Ph 2,3520 Philemon Av,Proposed,NEWC,MTF,242,0,0,0.27,61135355,,Grubb Properties,Yes,,,0,0,0,,,,62424.1235634163,1060.64025237012
289,BLE,36,Flywheel NoDa,1028 STITCH BEND WY,Under Construction,NEWC,MTF,330,0,0,0.5,74250000,,Flywheel Group,Yes,,,0,0,0,,461,,499325.960563073,2887.23658951246
290,BLE,36,NoDa Greenway Ph. 2,3600 PHILEMON AV,Proposed,NEWC,MTF,218,0,0,0.37,49050000,,Flywheel Group,Yes,,,0,0,0,,461,,313926.466472924,2662.05230552629
291,BLE,36,Link NoDa MF,,Under Construction,NEWC,MTF,292,0,0,0.19,81389503,,Grubb Properties,Yes,,,0,0,0,,,,138993.421957874,1796.80240719128
292,BLE,MCC,The Pantry,7751 N Tryon St,Complete,NEWC,RET,0,0,0,0.47,1650000,2012,,Yes,,,0,5288,5288,,,,73414.7327611748,1234.79425875467
293,BL,9,Skyhouse,631 N TRYON ST,Complete,NEWC,MIXU,336,0,0,0.32,63000000,2015,Novare Group,Yes,,,0,8000,0,,,,75428.077517163,1114.67258765865
294,BLE,MCC,Union at Tryon,302 Hampton Church Rd.,Under Construction,NEWC,MTF,200,200,0,0.38,35000000,,The Annex Group,Yes,,,0,0,0,,,,333363.013486952,3009.4164309582
295,BLE,MCC,University Pointe Shopping Center,5700 University Pointe Blvd,Complete,NEWC,RET,0,0,0,0.34,,2012,,,,,0,236801,236801,,,,1150121.83176147,5916.09744244583
296,BLE,TMH,LIV Apartments,6810 N Tryon St,Complete,NEWC,MTF,268,0,0,0.18,60000000,2021,LIV Development,Yes,,,0,0,0,,364,,388408.76887436,3156.35196230177
297,BLE,TMH,The Oliver,3020 GLORYLAND AV,Under Construction,NEWC,MTF,221,0,0,0.15,35000000,,PANOS PROPERTIES,Yes,,,0,0,0,,,,304346.075057537,2549.5936304005
298,BLE,OLDC,McDonald's Old Concord,5635 N. Tryon St.,Complete,NEWC,RET,0,0,0,0.35,1500000,2020,TDK INC,Yes,,,0,4907,4907,,29,,40122.1702865579,815.432165176565
