OBJECTID,Tree_ID,Common,DBH,Active,Location,geometry,index_right,name,lat,lon,Deciduous
1764118,110531676,OAK: WILLOW,19.0,1,114 S TRYON ST,POINT (514229.0640789774 3898220.9469231833),3,3rd St/Convention,35.22361,-80.84306,1
1764119,110531677,OAK: WILLOW,4.0,1,108 S TRYON ST #A,POINT (514255.26609392354 3898243.707371139),2,CTC/Arena,35.225,-80.84139,1
1764119,110531677,OAK: WILLOW,4.0,1,108 S TRYON ST #A,POINT (514255.26609392354 3898243.707371139),3,3rd St/Convention,35.22361,-80.84306,1
1764120,110531678,OAK: WILLOW,99.0,1,,POINT (514228.8300277963 3898291.594766538),2,CTC/Arena,35.225,-80.84139,1
1764120,110531678,OAK: WILLOW,99.0,1,,POINT (514228.8300277963 3898291.594766538),3,3rd St/Convention,35.22361,-80.84306,1
1764121,110531679,OAK: WILLOW,99.0,1,,POINT (514198.2729426905 3898322.161984032),2,CTC/Arena,35.225,-80.84139,1
1764122,110531680,OAK: WILLOW,4.0,1,,POINT (514204.0983741338 3898342.5824974063),2,CTC/Arena,35.225,-80.84139,1
1764123,110531681,OAK: WILLOW,99.0,1,,POINT (514215.9534130182 3898331.7273073373),2,CTC/Arena,35.225,-80.84139,1
1764124,110531682,OAK: WILLOW,99.0,1,,POINT (514222.0641671264 3898325.7837391044),2,CTC/Arena,35.225,-80.84139,1
1764124,110531682,OAK: WILLOW,99.0,1,,POINT (514222.0641671264 3898325.7837391044),3,3rd St/Convention,35.22361,-80.84306,1
1764125,110531683,OAK: WILLOW,99.0,1,,POINT (514226.8315261455 3898321.174411638),2,CTC/Arena,35.225,-80.84139,1
1764125,110531683,OAK: WILLOW,99.0,1,,POINT (514226.8315261455 3898321.174411638),3,3rd St/Convention,35.22361,-80.84306,1
1764126,110531684,OAK: WILLOW,4.0,1,N TRYON ST,POINT (514242.48029238975 3898303.4616258433),2,CTC/Arena,35.225,-80.84139,1
1764126,110531684,OAK: WILLOW,4.0,1,N TRYON ST,POINT (514242.48029238975 3898303.4616258433),3,3rd St/Convention,35.22361,-80.84306,1
1764127,110531685,OAK: WILLOW,4.0,1,,POINT (514248.4310229551 3898296.8646768196),2,CTC/Arena,35.225,-80.84139,1
1764127,110531685,OAK: WILLOW,4.0,1,,POINT (514248.4310229551 3898296.8646768196),3,3rd St/Convention,35.22361,-80.84306,1
1764128,110531686,OAK: WILLOW,11.0,1,,POINT (514541.36826855707 3898488.0496106623),1,7th Street,35.22722,-80.83806,1
1764129,110531687,OAK: WILLOW,19.0,1,,POINT (514606.14231074514 3898542.809257061),0,9th Street,35.2297,-80.835,1
1764129,110531687,OAK: WILLOW,19.0,1,,POINT (514606.14231074514 3898542.809257061),1,7th Street,35.22722,-80.83806,1
1764130,110531688,OAK: WILLOW,19.0,1,,POINT (514612.55376737076 3898548.4922691137),0,9th Street,35.2297,-80.835,1
